30/06/2012,"
																		RI HAPPY BRINQUEDOS 41 SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 05 DE 06
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 28,32
																	"
27/08/2012,"
																		LEADER - ECOMMERCER BELFORD ROXO RJ
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 22,62
																	"
30/08/2012,"
																		RAIA DROGASIL 058
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 89,29
																	"
04/09/2012,"
																		QATAR AIRWAYS PARCELAD
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 05
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 89,23
																	"
14/09/2012,"
																		TAM CALL CEN GDS AMADE
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 06
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 380,05
																	"
22/09/2012,"
																		MAGAZINE LUIZA.COM FRANCA SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 05
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 33,98
																	"
04/10/2012,"
																		KLM RIO DE JANEIRO RJ
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 04
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 477,90
																	"
04/10/2012,"
																		RAIA DROGASIL 339
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 45,16
																	"
05/10/2012,"
																		SMART BRAND SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 04
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 22,49
																	"
22/10/2012,"
																		GARFUNKELS RESTAURANTS
																		
																			
																			36.05 Libra Esterlina
																		
																		
																			
																			10/22/12          60.24 USD
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 126,50
																	"
23/10/2012,"
																		APPLE RETAIL R410
																		
																			
																			475.00 Libra Esterlina
																		
																		
																			
																			10/23/12         793.11 USD
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 1.665,53
																	"
23/10/2012,"
																		PRIMARK STRATFORD
																		
																			
																			26.00 Libra Esterlina
																		
																		
																			
																			10/23/12          43.32 USD
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 90,97
																	"
24/10/2012,"
																		SAINSBURY'S SUPERMARKETS LTD-SACAT LOC
																		
																			
																			7.19 Libra Esterlina
																		
																		
																			
																			10/24/12          11.98 USD
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 25,28
																	"
27/10/2012,"
																		SEM PARAR  VIA FACIL OSASCO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 50,00
																	"
02/11/2012,"
																		HMV SHOP
																		
																			
																			17,99 Euro
																		
																		
																			
																			11/02/12          24.15 USD
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 50,96
																	"
02/11/2012,"
																		PAGAMENTO RECEBIDO - OBRIGADO
																		
																		
																		
																	","
																		
																			-
																		
																		
																		R$ 4.000,00
																	"
02/11/2012,"
																		IOF OPER. CRED ROTATIVO
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 12,23
																	"
02/11/2012,"
																		IOF OPER. CRED ROTATIVO
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 3,96
																	"
06/11/2012,"
																		PAGAMENTO RECEBIDO - OBRIGADO
																		
																		
																		
																	","
																		
																			-
																		
																		
																		R$ 3.860,80
																	"
07/11/2012,"
																		DÉBITO REF VARIAÇÃO CAMBIAL- TAXA:  2,
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 5,97
																	"
07/11/2012,"
																		DÉBITO REF VARIAÇÃO DE IOF - TAXA:  2,
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 0,38
																	"
07/11/2012,"
																		PAYPAL *SHENJUNHUA1
																		
																			
																			9.00 Dólar Norte-Americano
																		
																		
																			
																			US$ convertidos R$ ao câmbio de 02,10
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 18,90
																	"
08/11/2012,"
																		POSTO RRM SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 30,00
																	"
08/11/2012,"
																		LE POSTICHE 379 VOTORANTIM SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 01 DE 08
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 28,12
																	"
08/11/2012,"
																		BK SOROCABA ITAVUVU SOROCABA SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 44,80
																	"
09/11/2012,"
																		GRILETTO RESTAURANTE BAURU SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 20,90
																	"
09/11/2012,"
																		GRILETTO RESTAURANTE BAURU SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 16,80
																	"
09/11/2012,"
																		SEM PARAR  VIA FACIL OSASCO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 50,00
																	"
10/11/2012,"
																		COMEDIANS COMEDY CLUB SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 106,85
																	"
10/11/2012,"
																		LIMAO CRAVO RESTAUR SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 91,44
																	"
10/11/2012,"
																		CENTRO AUTOMOTIVO ABRA SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 66,01
																	"
11/11/2012,"
																		EXPORT OSASCO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 179,00
																	"
11/11/2012,"
																		BCASH  BUSCAPE COMPANY MARILIA SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 87,20
																	"
12/11/2012,"
																		GIRAFFAS SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 31,10
																	"
12/11/2012,"
																		A P B VIAGEM SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 78,00
																	"
12/11/2012,"
																		CARREFOUR LJ SPS SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 36,24
																	"
13/11/2012,"
																		A P BOA VIAGEM SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 153,00
																	"
13/11/2012,"
																		CAFE CENTRAL GUARULHOS SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 81,90
																	"
14/11/2012,"
																		SEM PARAR  VIA FACIL OSASCO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 50,00
																	"
14/11/2012,"
																		DROGARIA MASTER FRE CHAPADA DOS GUIMAR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 17,00
																	"
14/11/2012,"
																		POMODORI ROTISSERIA CHAPADA DOS GUIMAR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 80,35
																	"
15/11/2012,"
																		CHAPDA OFF ROAD ECO CHAPADA DOS GUIMAR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 200,00
																	"
15/11/2012,"
																		SUPERMERCADO OURO FINO CHAPADA DOS GUI
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 19,31
																	"
16/11/2012,"
																		CHAPDA OFF ROAD ECO CHAPADA DOS GUIMAR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 200,00
																	"
17/11/2012,"
																		CHAPDA OFF ROAD ECO CHAPADA DOS GUIMAR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 100,00
																	"
18/11/2012,"
																		POSTO RAFA
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 66,04
																	"
18/11/2012,"
																		KIKIO FAST FOOD VARZEA GRANDE MT
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 88,00
																	"
18/11/2012,"
																		EXPRESS RENT A CAR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 665,00
																	"
18/11/2012,"
																		OUTBACK VILA LOBOS SAO CAETANO DO SUL
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 71,00
																	"
18/11/2012,"
																		POSTO EXTRA LJ 2686 SOROCABA SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 63,00
																	"
20/11/2012,"
																		COMPRA VIA PAGSEGURO SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 23,40
																	"
21/11/2012,"
																		ENCARGOS CONTRATUAIS
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 12,81
																	"
21/11/2012,"
																		SEM PARAR  VIA FACIL OSASCO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 50,00
																	"
21/11/2012,"
																		POSTO EXTRA LJ 2725 SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 32,76
																	"
21/11/2012,"
																		BARELLO BURGUER SAO PAULO SP
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 32,67
																	"
21/11/2012,"
																		IOF DESPESA EXTERIOR
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 126,20
																	"